item,title_en,article_en,article_ja,article_de,article_fr,article_es,article_it,article_zh,article_pt,article_pl,article_id,article_ru,article_nl,article_hi,article_sv,article_cs,article_ko,article_uk,article_fi,article_hu,article_ar,article_he,article_ro,article_da,article_el,article_bg,qid,instance_types,category
http://www.wikidata.org/entity/Q208645,United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change,https://ja.wikipedia.org/wiki/%E6%B0%97%E5%80%99%E5%A4%89%E5%8B%95%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88%E6%9E%A0%E7%B5%84%E6%9D%A1%E7%B4%84,https://de.wikipedia.org/wiki/Rahmen%C3%BCbereinkommen_der_Vereinten_Nationen_%C3%BCber_Klima%C3%A4nderungen,https://fr.wikipedia.org/wiki/Convention-cadre_des_Nations_unies_sur_les_changements_climatiques,https://es.wikipedia.org/wiki/Convenci%C3%B3n_Marco_de_las_Naciones_Unidas_sobre_el_Cambio_Clim%C3%A1tico,https://it.wikipedia.org/wiki/Convenzione_quadro_delle_Nazioni_Unite_sui_cambiamenti_climatici,https://zh.wikipedia.org/wiki/%E8%81%94%E5%90%88%E5%9B%BD%E6%B0%94%E5%80%99%E5%8F%98%E5%8C%96%E6%A1%86%E6%9E%B6%E5%85%AC%E7%BA%A6,https://pt.wikipedia.org/wiki/Conven%C3%A7%C3%A3o-Quadro_das_Na%C3%A7%C3%B5es_Unidas_sobre_a_Mudan%C3%A7a_do_Clima,https://pl.wikipedia.org/wiki/Ramowa_konwencja_Narod%C3%B3w_Zjednoczonych_w_sprawie_zmian_klimatu,https://id.wikipedia.org/wiki/Konvensi_Kerangka_Kerja_Perubahan_Iklim_Perserikatan_Bangsa-Bangsa,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%9E%D0%9E%D0%9D_%D0%BE%D0%B1_%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B8_%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B0,https://nl.wikipedia.org/wiki/Klimaatverdrag,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%82%E0%A4%AF%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4_%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0_%E0%A4%9C%E0%A4%B2%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A5%81_%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A4%E0%A4%A8_%E0%A4%B0%E0%A5%82%E0%A4%AA%E0%A4%B0%E0%A5%87%E0%A4%96%E0%A4%BE_%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A5%87%E0%A4%B2%E0%A4%A8,https://sv.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change,https://cs.wikipedia.org/wiki/R%C3%A1mcov%C3%A1_%C3%BAmluva_OSN_o_zm%C4%9Bn%C4%9B_klimatu,https://ko.wikipedia.org/wiki/%EA%B8%B0%ED%9B%84%EB%B3%80%ED%99%94%EC%97%90_%EA%B4%80%ED%95%9C_%EC%9C%A0%EC%97%94_%EA%B8%B0%EB%B3%B8_%ED%98%91%EC%95%BD,https://uk.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%BA%D0%BE%D0%B2%D0%B0_%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%BD%D1%86%D1%96%D1%8F_%D0%9E%D0%9E%D0%9D_%D0%BF%D1%80%D0%BE_%D0%B7%D0%BC%D1%96%D0%BD%D1%83_%D0%BA%D0%BB%D1%96%D0%BC%D0%B0%D1%82%D1%83,https://fi.wikipedia.org/wiki/YK:n_ilmastonsuojelun_puitesopimus,https://hu.wikipedia.org/wiki/Az_ENSZ_%C3%A9ghajlatv%C3%A1ltoz%C3%A1si_keretegyezm%C3%A9nye,https://ar.wikipedia.org/wiki/%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A9_%D8%A7%D9%84%D8%A3%D9%85%D9%85_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9_%D8%A7%D9%84%D8%A5%D8%B7%D8%A7%D8%B1%D9%8A%D8%A9_%D8%A8%D8%B4%D8%A3%D9%86_%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%A0%D7%AA_%D7%94%D7%9E%D7%A1%D7%92%D7%A8%D7%AA_%D7%A9%D7%9C_%D7%94%D7%90%D7%95%22%D7%9D_%D7%91%D7%A0%D7%95%D7%A9%D7%90_%D7%A9%D7%99%D7%A0%D7%95%D7%99%D7%99_%D7%90%D7%A7%D7%9C%D7%99%D7%9D,,https://da.wikipedia.org/wiki/UNFCCC,https://el.wikipedia.org/wiki/%CE%A3%CF%8D%CE%BC%CE%B2%CE%B1%CF%83%CE%B7-%CE%A0%CE%BB%CE%B1%CE%AF%CF%83%CE%B9%CE%BF_%CF%84%CF%89%CE%BD_%CE%97%CE%BD%CF%89%CE%BC%CE%AD%CE%BD%CF%89%CE%BD_%CE%95%CE%B8%CE%BD%CF%8E%CE%BD_%CE%B3%CE%B9%CE%B1_%CF%84%CE%B7%CE%BD_%CE%9A%CE%BB%CE%B9%CE%BC%CE%B1%CF%84%CE%B9%CE%BA%CE%AE_%CE%91%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE,https://bg.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%BA%D0%BE%D0%B2%D0%B0_%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%9E%D0%9E%D0%9D_%D0%B7%D0%B0_%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%D1%82%D0%BE_%D0%BD%D0%B0_%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B0,Q208645,['Q1691434'],event
http://www.wikidata.org/entity/Q210898,James Lovelock,https://en.wikipedia.org/wiki/James_Lovelock,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%BA%E3%83%BB%E3%83%A9%E3%83%96%E3%83%AD%E3%83%83%E3%82%AF,https://de.wikipedia.org/wiki/James_Lovelock,https://fr.wikipedia.org/wiki/James_Lovelock,https://es.wikipedia.org/wiki/James_Lovelock,https://it.wikipedia.org/wiki/James_Lovelock,https://zh.wikipedia.org/wiki/%E8%A9%B9%E5%A7%86%E6%96%AF%C2%B7%E6%B4%9B%E5%A4%AB%E6%B4%9B%E5%85%8B,https://pt.wikipedia.org/wiki/James_Lovelock,https://pl.wikipedia.org/wiki/James_Lovelock,https://id.wikipedia.org/wiki/James_Lovelock,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D0%BB%D0%BE%D0%BA,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81",https://nl.wikipedia.org/wiki/James_Lovelock,,https://sv.wikipedia.org/wiki/James_Lovelock,https://cs.wikipedia.org/wiki/James_Lovelock,https://ko.wikipedia.org/wiki/%EC%A0%9C%EC%9E%84%EC%8A%A4_%EB%9F%AC%EB%B8%8C%EB%A1%9D,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81_%D0%9B%D0%B0%D0%B2%D0%BB%D0%BE%D0%BA,https://fi.wikipedia.org/wiki/James_Lovelock,https://hu.wikipedia.org/wiki/James_Lovelock,https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D9%85%D8%B3_%D9%84%D9%88%D9%81%D9%84%D9%88%D9%83,,https://ro.wikipedia.org/wiki/James_Lovelock,https://da.wikipedia.org/wiki/James_Lovelock,https://el.wikipedia.org/wiki/%CE%A4%CE%B6%CE%AD%CE%B9%CE%BC%CF%82_%CE%9B%CE%AC%CE%B2%CE%BB%CE%BF%CE%BA,https://bg.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81_%D0%9B%D0%B0%D0%B2%D0%BB%D0%BE%D0%BA,Q210898,['Q5'],human
http://www.wikidata.org/entity/Q211446,Milankovitch cycles,https://en.wikipedia.org/wiki/Milankovitch_cycles,https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%A9%E3%83%B3%E3%82%B3%E3%83%93%E3%83%83%E3%83%81%E3%83%BB%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB,https://de.wikipedia.org/wiki/Milankovi%C4%87-Zyklen,https://fr.wikipedia.org/wiki/Cycles_de_Milankovitch,https://es.wikipedia.org/wiki/Variaciones_orbitales,https://it.wikipedia.org/wiki/Cicli_di_Milankovi%C4%87,https://zh.wikipedia.org/wiki/%E7%B1%B3%E8%98%AD%E7%A7%91%E7%B6%AD%E5%A5%87%E5%BE%AA%E7%92%B0,https://pt.wikipedia.org/wiki/Varia%C3%A7%C3%A3o_orbital,https://pl.wikipedia.org/wiki/Cykle_Milankovicia,https://id.wikipedia.org/wiki/Siklus_Milankovitch,https://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BA%D0%BB%D1%8B_%D0%9C%D0%B8%D0%BB%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D0%B8%D1%87%D0%B0,https://nl.wikipedia.org/wiki/Milankovi%C4%87-parameters,,https://sv.wikipedia.org/wiki/Milankovi%C4%87-cykler,https://cs.wikipedia.org/wiki/Milankovi%C4%8Dovy_cykly,https://ko.wikipedia.org/wiki/%EB%B0%80%EB%9E%80%EC%BD%94%EB%B9%84%EC%B9%98_%EC%A3%BC%EA%B8%B0,https://uk.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BA%D0%BB%D0%B8_%D0%9C%D1%96%D0%BB%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D0%B8%D1%87%D0%B0,https://fi.wikipedia.org/wiki/Milankovi%C4%87in_jaksot,https://hu.wikipedia.org/wiki/Milankovi%C4%87-elm%C3%A9let,https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D8%A7%D8%AA_%D9%85%D9%8A%D9%84%D8%A7%D9%86%D9%83%D9%88%D9%81%D9%8A%D8%AA%D8%B4,https://he.wikipedia.org/wiki/%D7%9E%D7%97%D7%96%D7%95%D7%A8%D7%99_%D7%9E%D7%99%D7%9C%D7%A0%D7%A7%D7%95%D7%91%D7%99%D7%A5%27,,https://da.wikipedia.org/wiki/Milankovi%C4%87-cykler,,https://bg.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BA%D0%BB%D0%B8_%D0%BD%D0%B0_%D0%9C%D0%B8%D0%BB%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,Q211446,['Q2692606'],other
http://www.wikidata.org/entity/Q69564,Taiga,https://en.wikipedia.org/wiki/Taiga,https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%AC,https://de.wikipedia.org/wiki/Borealer_Nadelwald,https://fr.wikipedia.org/wiki/Ta%C3%AFga,https://es.wikipedia.org/wiki/Taiga,https://it.wikipedia.org/wiki/Taiga,https://zh.wikipedia.org/wiki/%E5%8C%97%E6%96%B9%E9%87%9D%E8%91%89%E6%9E%97,https://pt.wikipedia.org/wiki/Taiga,https://pl.wikipedia.org/wiki/Tajga,https://id.wikipedia.org/wiki/Taiga,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B0,https://nl.wikipedia.org/wiki/Taiga,https://hi.wikipedia.org/wiki/%E0%A4%A4%E0%A4%BE%E0%A4%87%E0%A4%97%E0%A4%BE,https://sv.wikipedia.org/wiki/Tajga,https://cs.wikipedia.org/wiki/Tajga,https://ko.wikipedia.org/wiki/%ED%83%80%EC%9D%B4%EA%B0%80,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B0,https://fi.wikipedia.org/wiki/Boreaalinen_vy%C3%B6hyke,https://hu.wikipedia.org/wiki/Tajga,https://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D9%8A%D8%BA%D8%A7,https://he.wikipedia.org/wiki/%D7%98%D7%99%D7%99%D7%92%D7%94,https://ro.wikipedia.org/wiki/Taiga,https://da.wikipedia.org/wiki/Tajga,https://el.wikipedia.org/wiki/%CE%A4%CE%AC%CE%B9%CE%B3%CE%BA%CE%B1,https://bg.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B0,Q69564,"['Q101998', 'Q2083910', 'Q119820518', 'Q37813']",other
http://www.wikidata.org/entity/Q76756,Albrecht Penck,https://en.wikipedia.org/wiki/Albrecht_Penck,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%96%E3%83%AC%E3%83%92%E3%83%88%E3%83%BB%E3%83%9A%E3%83%B3%E3%82%AF,https://de.wikipedia.org/wiki/Albrecht_Penck,https://fr.wikipedia.org/wiki/Albrecht_Penck,https://es.wikipedia.org/wiki/Albrecht_Penck,https://it.wikipedia.org/wiki/Albrecht_Penck,https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%B8%83%E9%9B%B7%E5%B8%8C%E7%89%B9%C2%B7%E5%BD%AD%E5%85%8B,https://pt.wikipedia.org/wiki/Albrecht_Penck,https://pl.wikipedia.org/wiki/Albrecht_Penck,https://id.wikipedia.org/wiki/Albrecht_Penck,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%BA,_%D0%90%D0%BB%D1%8C%D0%B1%D1%80%D0%B5%D1%85%D1%82",https://nl.wikipedia.org/wiki/Albrecht_Penck,https://hi.wikipedia.org/wiki/%E0%A4%86%E0%A4%B2%E0%A5%8D%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%96%E0%A5%8D%E0%A4%9F_%E0%A4%AA%E0%A5%87%E0%A4%82%E0%A4%95,https://sv.wikipedia.org/wiki/Albrecht_Penck,https://cs.wikipedia.org/wiki/Albrecht_Penck,https://ko.wikipedia.org/wiki/%EC%95%8C%EB%B8%8C%EB%A0%88%ED%9E%88%ED%8A%B8_%ED%8E%AD%ED%81%AC,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B1%D1%80%D0%B5%D1%85%D1%82_%D0%9F%D0%B5%D0%BD%D0%BA,https://fi.wikipedia.org/wiki/Albrecht_Penck,https://hu.wikipedia.org/wiki/Albrecht_Penck,,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%91%D7%A8%D7%9B%D7%98_%D7%A4%D7%A0%D7%A7,,,https://el.wikipedia.org/wiki/%CE%86%CE%BB%CE%BC%CF%80%CF%81%CE%B5%CF%87%CF%84_%CE%A0%CE%B5%CE%BD%CE%BA,https://bg.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D1%80%D0%B5%D1%85%D1%82_%D0%9F%D0%B5%D0%BD%D0%BA,Q76756,['Q5'],human
http://www.wikidata.org/entity/Q76844,Ulrich Beck,https://en.wikipedia.org/wiki/Ulrich_Beck,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%83%AB%E3%83%AA%E3%83%83%E3%83%92%E3%83%BB%E3%83%99%E3%83%83%E3%82%AF,https://de.wikipedia.org/wiki/Ulrich_Beck,https://fr.wikipedia.org/wiki/Ulrich_Beck,https://es.wikipedia.org/wiki/Ulrich_Beck,https://it.wikipedia.org/wiki/Ulrich_Beck,https://zh.wikipedia.org/wiki/%E4%B9%8C%E5%B0%94%E9%87%8C%E5%B8%8C%C2%B7%E8%B4%9D%E5%85%8B,https://pt.wikipedia.org/wiki/Ulrich_Beck,https://pl.wikipedia.org/wiki/Ulrich_Beck,https://id.wikipedia.org/wiki/Ulrich_Beck,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BA,_%D0%A3%D0%BB%D1%8C%D1%80%D0%B8%D1%85",https://nl.wikipedia.org/wiki/Ulrich_Beck,https://hi.wikipedia.org/wiki/%E0%A4%89%E0%A4%B2%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BC_%E0%A4%AC%E0%A5%87%E0%A4%95,https://sv.wikipedia.org/wiki/Ulrich_Beck,https://cs.wikipedia.org/wiki/Ulrich_Beck,https://ko.wikipedia.org/wiki/%EC%9A%B8%EB%A6%AC%ED%9E%88_%EB%B2%A0%ED%81%AC,https://uk.wikipedia.org/wiki/%D0%A3%D0%BB%D1%8C%D1%80%D1%96%D1%85_%D0%91%D0%B5%D0%BA,https://fi.wikipedia.org/wiki/Ulrich_Beck,,https://ar.wikipedia.org/wiki/%D8%A3%D9%88%D9%84%D8%B1%D9%8A%D8%B4_%D8%A8%D9%8A%D9%83,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%9C%D7%A8%D7%99%D7%9A_%D7%91%D7%A7,,https://da.wikipedia.org/wiki/Ulrich_Beck,,https://bg.wikipedia.org/wiki/%D0%A3%D0%BB%D1%80%D0%B8%D1%85_%D0%91%D0%B5%D0%BA,Q76844,['Q5'],human
http://www.wikidata.org/entity/Q83323,Fertilizer,https://en.wikipedia.org/wiki/Fertilizer,https://ja.wikipedia.org/wiki/%E8%82%A5%E6%96%99,https://de.wikipedia.org/wiki/D%C3%BCnger,https://fr.wikipedia.org/wiki/Engrais,https://es.wikipedia.org/wiki/Fertilizante,https://it.wikipedia.org/wiki/Fertilizzante,https://zh.wikipedia.org/wiki/%E8%82%A5%E6%96%99,https://pt.wikipedia.org/wiki/Fertilizante,https://pl.wikipedia.org/wiki/Nawozy,https://id.wikipedia.org/wiki/Pupuk,https://ru.wikipedia.org/wiki/%D0%A3%D0%B4%D0%BE%D0%B1%D1%80%D0%B5%D0%BD%D0%B8%D1%8F,https://nl.wikipedia.org/wiki/Meststof,https://hi.wikipedia.org/wiki/%E0%A4%89%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A4%95,https://sv.wikipedia.org/wiki/G%C3%B6dsel,https://cs.wikipedia.org/wiki/Hnojivo,https://ko.wikipedia.org/wiki/%EB%B9%84%EB%A3%8C,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%B1%D1%80%D0%B8%D0%B2%D0%B0,https://fi.wikipedia.org/wiki/Lannoite,https://hu.wikipedia.org/wiki/Tr%C3%A1gya,https://ar.wikipedia.org/wiki/%D8%B3%D9%85%D8%A7%D8%AF,https://he.wikipedia.org/wiki/%D7%93%D7%A9%D7%9F,https://ro.wikipedia.org/wiki/%C3%8Engr%C4%83%C8%99%C4%83m%C3%A2nt,https://da.wikipedia.org/wiki/G%C3%B8dning,https://el.wikipedia.org/wiki/%CE%9B%CE%AF%CF%80%CE%B1%CF%83%CE%BC%CE%B1,https://bg.wikipedia.org/wiki/%D0%A2%D0%BE%D1%80_(%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F),Q83323,[],none
http://www.wikidata.org/entity/Q266790,Refrigerant,https://en.wikipedia.org/wiki/Refrigerant,https://ja.wikipedia.org/wiki/%E5%86%B7%E5%AA%92,https://de.wikipedia.org/wiki/K%C3%A4ltemittel,https://fr.wikipedia.org/wiki/Fluide_frigorig%C3%A8ne,https://es.wikipedia.org/wiki/Refrigerante_(refrigeraci%C3%B3n),https://it.wikipedia.org/wiki/Fluido_refrigerante,https://zh.wikipedia.org/wiki/%E5%88%B6%E5%86%B7%E5%89%82,https://pt.wikipedia.org/wiki/Fluido_refrigerante,https://pl.wikipedia.org/wiki/Czynnik_ch%C5%82odniczy,https://id.wikipedia.org/wiki/Refrigeran,https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B0%D0%B3%D0%B5%D0%BD%D1%82,https://nl.wikipedia.org/wiki/Koudemiddel,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B6%E0%A5%80%E0%A4%A4%E0%A4%95,https://sv.wikipedia.org/wiki/K%C3%B6ldmedium,https://cs.wikipedia.org/wiki/Chladivo,https://ko.wikipedia.org/wiki/%EB%83%89%EB%A7%A4,https://uk.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B0%D0%B3%D0%B5%D0%BD%D1%82,,https://hu.wikipedia.org/wiki/H%C5%B1t%C5%91k%C3%B6zeg,https://ar.wikipedia.org/wiki/%D9%88%D8%B3%D9%8A%D8%B7_%D8%AA%D8%A8%D8%B1%D9%8A%D8%AF,,https://ro.wikipedia.org/wiki/Agent_frigorific,https://da.wikipedia.org/wiki/K%C3%B8lemiddel,https://el.wikipedia.org/wiki/%CE%A8%CF%85%CE%BA%CF%84%CE%B9%CE%BA%CF%8C,https://bg.wikipedia.org/wiki/%D0%A5%D0%BB%D0%B0%D0%B4%D0%B8%D0%BB%D0%B5%D0%BD_%D0%B0%D0%B3%D0%B5%D0%BD%D1%82,Q266790,[],none
http://www.wikidata.org/entity/Q498819,Medieval Warm Period,https://en.wikipedia.org/wiki/Medieval_Warm_Period,https://ja.wikipedia.org/wiki/%E4%B8%AD%E4%B8%96%E3%81%AE%E6%B8%A9%E6%9A%96%E6%9C%9F,https://de.wikipedia.org/wiki/Mittelalterliche_Klimaanomalie,https://fr.wikipedia.org/wiki/Optimum_climatique_m%C3%A9di%C3%A9val,https://es.wikipedia.org/wiki/Per%C3%ADodo_c%C3%A1lido_medieval,https://it.wikipedia.org/wiki/Periodo_caldo_medievale,https://zh.wikipedia.org/wiki/%E4%B8%AD%E4%B8%96%E7%B4%80%E6%BA%AB%E6%9A%96%E6%99%82%E6%9C%9F,,https://pl.wikipedia.org/wiki/%C5%9Aredniowieczne_optimum_klimatyczne,https://id.wikipedia.org/wiki/Periode_Hangat_Abad_Pertengahan,https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%B5%D0%BA%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BF%D1%82%D0%B8%D0%BC%D1%83%D0%BC,https://nl.wikipedia.org/wiki/Middeleeuws_klimaatoptimum,,https://sv.wikipedia.org/wiki/Medeltida_v%C3%A4rmeperioden,https://cs.wikipedia.org/wiki/St%C5%99edov%C4%9Bk%C3%A9_klimatick%C3%A9_optimum,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8C%D0%BE%D0%B2%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D0%BA%D0%BB%D1%96%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D0%B9_%D0%BE%D0%BF%D1%82%D0%B8%D0%BC%D1%83%D0%BC,https://fi.wikipedia.org/wiki/Keskiajan_l%C3%A4mmin_kausi,https://hu.wikipedia.org/wiki/K%C3%B6z%C3%A9pkori_meleg_id%C5%91szak,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D9%82%D8%A8%D8%A9_%D8%A7%D9%84%D9%82%D8%B1%D9%88%D8%B3%D8%B7%D9%8A%D8%A9_%D8%A7%D9%84%D8%AF%D8%A7%D9%81%D8%A6%D8%A9,,https://ro.wikipedia.org/wiki/Perioada_cald%C4%83_medieval%C4%83,https://da.wikipedia.org/wiki/Middelalderlige_varmeperiode,https://el.wikipedia.org/wiki/%CE%9C%CE%B5%CF%83%CE%B1%CE%B9%CF%89%CE%BD%CE%B9%CE%BA%CE%AE_%CE%98%CE%B5%CF%81%CE%BC%CE%AE_%CE%A0%CE%B5%CF%81%CE%AF%CE%BF%CE%B4%CE%BF%CF%82,https://bg.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D0%BE%D0%B2%D0%B5%D0%BA%D0%BE%D0%B2%D0%B5%D0%BD_%D1%82%D0%BE%D0%BF%D1%8A%D0%BB_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4,Q498819,['Q11514315'],other
http://www.wikidata.org/entity/Q796140,Holocene extinction,https://en.wikipedia.org/wiki/Holocene_extinction,,,https://fr.wikipedia.org/wiki/Extinction_de_l%27Holoc%C3%A8ne,https://es.wikipedia.org/wiki/Extinci%C3%B3n_masiva_del_Holoceno,https://it.wikipedia.org/wiki/Estinzione_dell%27Olocene,https://zh.wikipedia.org/wiki/%E5%85%A8%E6%96%B0%E4%B8%96%E6%BB%85%E7%B5%95%E4%BA%8B%E4%BB%B6,https://pt.wikipedia.org/wiki/Extin%C3%A7%C3%A3o_em_massa_do_Holoceno,https://pl.wikipedia.org/wiki/Sz%C3%B3sta_katastrofa,https://id.wikipedia.org/wiki/Kepunahan_Holosen,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D1%86%D0%B5%D0%BD%D0%BE%D0%B2%D0%BE%D0%B5_%D0%B2%D1%8B%D0%BC%D0%B8%D1%80%D0%B0%D0%BD%D0%B8%D0%B5,,,https://sv.wikipedia.org/wiki/Holocen-utd%C3%B6endet,https://cs.wikipedia.org/wiki/Vym%C3%ADr%C3%A1n%C3%AD_v_holoc%C3%A9nu,https://ko.wikipedia.org/wiki/%ED%99%80%EB%A1%9C%EC%84%B8_%EB%A9%B8%EC%A2%85,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D1%86%D0%B5%D0%BD%D0%BE%D0%B2%D0%B5_%D0%B2%D0%B8%D0%BC%D0%B8%D1%80%D0%B0%D0%BD%D0%BD%D1%8F,https://fi.wikipedia.org/wiki/Kuudes_joukkosukupuutto,,https://ar.wikipedia.org/wiki/%D8%A7%D9%86%D9%82%D8%B1%D8%A7%D8%B6_%D8%A7%D9%84%D9%87%D9%88%D9%84%D9%88%D8%B3%D9%8A%D9%86%D9%8A,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%A8%D7%95%D7%A2_%D7%94%D7%94%D7%9B%D7%97%D7%93%D7%94_%D7%91%D7%94%D7%95%D7%9C%D7%95%D7%A7%D7%9F,,https://da.wikipedia.org/wiki/Den_sjette_store_massed%C3%B8d,,https://bg.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BE%D1%86%D0%B5%D0%BD%D1%81%D0%BA%D0%BE_%D0%BC%D0%B0%D1%81%D0%BE%D0%B2%D0%BE_%D0%B8%D0%B7%D0%BC%D0%B8%D1%80%D0%B0%D0%BD%D0%B5,Q796140,['Q55814'],event
